claim_id,state,section,source_milestone,source_artifact,statement,authorized_interpretation,prohibited_upgrade
"C11_EXPECTED_PERFORMANCE","publishable_bounded","Expected performance","11","data/manifests/milestone11_expected_performance_v2.json","M11 produced 342 geography-out cross-fitted predictions across poverty unemployment and real-GRDP growth and all three target models beat the preregistered same-year peer-mean benchmark on both RMSE and MAE.","Bounded predictive expected-performance comparison within the qualified M11 regime.","Do not interpret coefficients residuals or expected-performance gaps causally."
"C12_EMPIRICAL_REFERENCE","publishable_bounded","Attainable reference","12","docs/MILESTONE12_ATTAINABLE_FRONTIER.md","M12 defines favorable empirical references for the three modeled outcomes using a primary conditional favorable-residual method and an alternative structural-neighbor favorable envelope.","Empirical conditional reference within the qualified sample and support rules.","Do not call the reference a theoretical maximum or a guaranteed policy-attainable outcome."
"C13_GAP_DISTRIBUTION","publishable_bounded","Development gaps","13","data/manifests/milestone13_development_gap_decomposition.json","M13 contains 342 target-year-geography gap rows: 15 materially less favorable than expected 313 within the expected interval and 14 materially more favorable than expected; stronger gap interpretation is authorized for 243 rows and blocked for 99 rows.","Descriptive and model-relative gap interpretation only where preregistered support rules authorize it.","Do not aggregate gaps into a monetary wasted-potential total or infer causal underperformance."
"C13_METHOD_DISAGREEMENT","publishable_bounded","Development gaps","13","docs/MILESTONE13_DEVELOPMENT_GAP_DECOMPOSITION.md","The primary favorable-reference method and alternative structural-neighbor method disagree on the sign of the frontier gap in 50 rows.","Method disagreement is an uncertainty and robustness result that must remain visible.","Do not average away disagreement or present a single frontier sign as uniquely identified in those rows."
"C14_RAINFALL_ASSOCIATION","publishable_bounded","Associated bottlenecks","14","data/manifests/milestone14_bottleneck_association.json","M14 retained one stable preregistered lagged signal: CHIRPS annual rainfall versus the unemployment adverse expected-performance gap with within-year rank association about +0.458 and geography-block permutation two-sided p about 0.0056.","Stable non-causal association signal under the M14 design.","Do not label rainfall a causal unemployment driver bottleneck or policy priority."
"C08_EARTHQUAKE_NULL","publishable_negative_result","Causal evidence","8","docs/MILESTONE18_FINAL_ANALYTICAL_SYNTHESIS.md","The completed 2009 West Sumatra earthquake quasi-causal study passed its core identification diagnostics but did not authorize a statistically robust directional nonzero differential-effect claim.","Report the identification-qualified non-directional or null result as a scientific result.","Do not manufacture a directional treatment effect or use absence of significance as proof of no effect."
"C15_IDENTIFICATION_DISCIPLINE","publishable_bounded","Causal evidence","15","data/manifests/milestone15_causal_evidence_expansion.json","M15 retains one completed quasi-causal study two not-identification-ready entries and fits zero new causal models.","The project distinguishes identification readiness from association strength.","Do not upgrade M14 or other associations into causal effects without a qualified design."
"C17_PREDICTIVE_SENSITIVITY","publishable_bounded","Action evidence","17","data/manifests/milestone17_scenario_intervention.json","M17 contains seven scenario contracts including five quantitative predictive model-state sensitivities and two blocked intervention scenarios using symmetric plus-or-minus 0.5 training-fold standardized-unit perturbations.","Predictive model-state sensitivity only; fold instability may be reported.","Do not interpret sensitivities as treatment effects forecasts implementable raw-unit changes or policy rankings."
"N19_FORECAST_FAILURE","publishable_negative_result","Forecast qualification","19","data/manifests/milestone19_dynamic_forecast_engine.json","None of the three one-year-ahead targets poverty unemployment or real-GRDP growth beat own-lag persistence on both RMSE and MAE; zero targets qualify for substantive 2026 forecasting.","Report forecast qualification failure and keep 2026 substantive forecasts blocked.","Do not publish model-generated 2026 rows as qualified forecasts or search post hoc for a better headline model."
"N20_MONOTONIC_RAINFALL","publishable_negative_result","Climate evidence","20","data/manifests/milestone20_historical_climate_trend.json","Zero of 19 current-boundary West Sumatra geographies pass the full preregistered robust monotonic CHIRPS rainfall-trend gate for 1981-2025.","Report failure of the robust monotonic-trend claim under the locked design.","Do not conclude that climate has not changed; do not claim station equivalence or anthropogenic attribution."
"N21_REGIME_SHIFT","publishable_negative_result","Climate evidence","21","data/manifests/milestone21_climate_regime_shift.json","The candidate single-break rainfall regime selects 1998 in the full fit but fails predictive qualification and breakpoint-stability gates; classification is regime_shift_not_qualified.","Report the candidate pattern and the failed qualification together.","Do not publish 1998 as an established climate regime shift or search another breakpoint algorithm post hoc."
"N22_SCHOOLING_POVERTY_TRAJECTORY","publishable_negative_result","Socioeconomic trajectories","22","data/manifests/milestone22_hierarchical_socioeconomic_trajectory.json","Expected years schooling mean years schooling and poverty fail the preregistered hierarchical trajectory benchmark requiring improvement over independent geography trends on both RMSE and MAE.","Report model-qualification failure without denying observed descriptive change.","Do not issue hierarchy-based geography trajectory classifications for these indicators."
"C22_LFP_TRAJECTORY","publishable_bounded","Socioeconomic trajectories","22","data/manifests/milestone22_hierarchical_socioeconomic_trajectory.json","Labor-force participation passes the hierarchical benchmark; 17 geography trajectories are persistent increases and none are persistent decreases under the locked robustness rule.","Bounded modern 2018-2025 numerical trajectory classification.","Do not interpret as a causal labor-market improvement or guaranteed future path."
"C22_UNEMPLOYMENT_TRAJECTORY","publishable_bounded","Socioeconomic trajectories","22","data/manifests/milestone22_hierarchical_socioeconomic_trajectory.json","Unemployment passes the hierarchical benchmark; 11 geography trajectories are persistent decreases 5 persistent increases and 3 not robust.","Bounded modern 2018-2025 trajectory classification with direction semantics preserved.","Do not infer causes or extrapolate the trajectory beyond the qualified period."
"C22_GRDP_GROWTH_TRAJECTORY","publishable_bounded","Socioeconomic trajectories","22","data/manifests/milestone22_hierarchical_socioeconomic_trajectory.json","Real-GRDP growth narrowly passes the aggregate hierarchical benchmark but zero of 19 geography-level trajectories are robust under the locked stability rule.","The model-level benchmark result may be reported together with the absence of robust geography classifications.","Do not present geography-specific structural acceleration or future growth trends."
