indicator_id,bps_var_id,candidate_role,subject_id,bps_title,source_unit,source_geography,known_period_scope,qualification_status,comparability_notes
population_total,484,preferred_observed_anchor,12,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,Jiwa,kabupaten_kota,"1971;1980;1990;1995;2000;2005;2010;2015;2020",metadata_qualified_candidate,"Metadata explicitly separates census years from SUPAS years; verify sex/turvar total selection before canonical mapping"
population_total,32,mixed_source_continuity,12,Jumlah Penduduk Menurut Kabupaten/Kota dan Jenis Kelamin di Provinsi Sumatera Barat,Jiwa,kabupaten_kota,1971-2022,requires_source_segmentation,"One BPS variable mixes census 1971/1980/2020, registration 1981-1989, several projection regimes, and interim projection 2021-2022; never treat as one homogeneous observed series"
population_total,28,projection_supplement,12,[Proyeksi 2010-2020] Jumlah Penduduk Menurut Kabupaten/Kota dan Jenis Kelamin di Provinsi Sumatera Barat,Jiwa,kabupaten_kota,2010-2020,metadata_qualified_candidate,"Mid-year June projection; keep distinct from census/SUPAS observations"
population_total,755,projection_supplement,12,[Proyeksi 2020-2035] Jumlah Penduduk Menurut Kabupaten/Kota dan Jenis Kelamin di Provinsi Sumatera Barat,Ribu Jiwa,kabupaten_kota,2020-2035,metadata_qualified_candidate,"Mid-year June projection and unit is thousand persons; do not concatenate silently with Jiwa series"
urban_population_share,512,projection_candidate,12,Persentase Penduduk Perkotaan Hasil Proyeksi Penduduk Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,kabupaten_kota,,needs_period_inventory,"Projection-based urban share; urban/rural classification vintage must be inspected"
net_migration_rate,883,derived_rate_candidate,12,[Hasil SUPAS] Indikator Migrasi Indikator Migrasi Risen per 100 Penduduk Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,kabupaten_kota,,needs_definition_review,"Source expresses recent migration per 100 while canonical unit is per 1000; migration interval and denominator must be verified before conversion"
life_expectancy,752,preferred_current_method,26,[Metode Baru] Umur Harapan Hidup Saat Lahir Menurut Kabupaten/Kota (Hasil Long Form SP2020) di Provinsi Sumatera Barat,Tahun,kabupaten_kota,,metadata_qualified_candidate,"LF SP2020-based UHH; keep separate methodology version from SP2010-projection-based UHH"
life_expectancy,362,legacy_new_method_version,26,[Metode Baru] Umur Harapan Hidup Saat Lahir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Tahun,kabupaten_kota,,methodology_version_candidate,"Metadata states UHH derived from SP2010 projection; do not silently join to LF SP2020 version"
infant_mortality_rate,877,supas_candidate,12,[Hasil SUPAS] Angka Kematian Bayi (Infant Mortality Rate/IMR) Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Tidak Ada Satuan,kabupaten_kota,,needs_unit_and_definition_review,"Title matches IMR but API unit metadata is absent; verify per-1000-live-birth definition and SUPAS reference period"
mean_years_schooling,363,direct_candidate,26,[Metode Baru] Rata-Rata Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Tahun,kabupaten_kota,,metadata_qualified_candidate,"Susenas source; age universe and methodology period still require table/metadata qualification"
expected_years_schooling,361,direct_candidate,26,[Metode Baru] Harapan Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Tahun,kabupaten_kota,,metadata_qualified_candidate,"Susenas source; verify method version and period coverage"
labor_force_participation,141,direct_candidate,6,Tingkat Partisipasi Angkatan Kerja (TPAK) Menurut Kabupaten/Kota,Tidak Ada Satuan,kabupaten_kota,2007-2025,needs_unit_crosscheck,"Sakernas; API unit is blank although TPAK conventionally percent; 2016 kab/kota unavailable and weighting regimes change in 2011-2017 and 2018-2021"
unemployment_rate,139,preferred_regency_city,6,Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota,Persen,kabupaten_kota,2006-2025,metadata_qualified_candidate,"Sakernas; 2016 kab/kota unavailable and weighting regimes change; period/subperiod semantics must be retained"
underemployment_rate,668,direct_candidate,6,"Tingkat Setengah Pengangguran, Tingkat Pekerja Paruh Waktu dan Pekerja Tidak Penuh Menurut Kabupaten/Kota",Persen,kabupaten_kota,,needs_turvar_selection,"Sakernas Agustus; select the underemployment category explicitly rather than other part-time/incomplete-work categories"
poverty_rate,34,direct_candidate,23,Persentase Penduduk Miskin Menurut Kabupaten/Kota di Sumatera Barat,Persen,kabupaten_kota,,metadata_qualified_candidate,"Susenas; notes document boundary aggregation before splits and reference-month shifts: pre-2007/March, 2007/July, 2011-2014/September, 2015 onward/March"
gini_ratio,83,direct_candidate,23,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,Tidak Ada Satuan,kabupaten_kota,,needs_unit_semantics_review,"Susenas; availability changes across 1996/1999/2022/2025 and annual kab/kota availability begins 2007; canonical index semantics should be confirmed"
real_grdp_growth,138,direct_candidate,52,Laju Pertumbuhan Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010 Menurut Kabupaten/Kota,Tidak Ada Satuan,kabupaten_kota,,needs_unit_crosscheck,"Title explicitly states constant-price 2010 growth but API unit is absent; 2024 very provisional and 2025 very-very provisional"
real_grdp_per_capita,672,derived_input,52,[Seri2010] Produk Domestik Regional Bruto Kabupaten/Kota Menurut Lapangan Usaha Atas dasar Harga Konstan 2010 di Provinsi Sumatera Barat,Juta Rupiah,kabupaten_kota,,needs_industry_dimension_review,"Use constant-price total PDRB plus compatible population denominator; inspect industry/turvar dimension and total category before deriving per-capita values"
manufacturing_share_grdp,282,derived_input,52,[Seri 2010] Produk Domestik Regional Bruto Kabupaten/Kota Menurut Lapangan Usaha Atas Dasar Harga Berlaku di Sumatera Barat,Juta Rupiah,kabupaten_kota,,needs_industry_dimension_review,"Derive manufacturing share only after industry classification and total-category selections are qualified"
agriculture_share_grdp,282,derived_input,52,[Seri 2010] Produk Domestik Regional Bruto Kabupaten/Kota Menurut Lapangan Usaha Atas Dasar Harga Berlaku di Sumatera Barat,Juta Rupiah,kabupaten_kota,,needs_industry_dimension_review,"Derive agriculture-forestry-fisheries share only after industry classification and total-category selections are qualified"
