source_code_normalized,source_code_display,source_admin_type,canonical_geography_id,canonical_name,applicable_start_year,applicable_end_year,mapping_status,source_system,notes
1301,13.01,regency,idn.13.1301,Kepulauan Mentawai,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source code retained and canonical BPS code is not inferred at runtime
1302,13.02,regency,idn.13.1302,Pesisir Selatan,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source code retained and canonical BPS code is not inferred at runtime
1303,13.03,regency,idn.13.1303,Solok,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping disambiguates Kabupaten Solok from Kota Solok
1304,13.04,regency,idn.13.1304,Sijunjung,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source spelling remains provenance
1305,13.05,regency,idn.13.1305,Tanah Datar,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source spelling remains provenance
1306,13.06,regency,idn.13.1306,Padang Pariaman,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source spelling remains provenance
1307,13.07,regency,idn.13.1307,Agam,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source spelling remains provenance
1308,13.08,regency,idn.13.1308,Lima Puluh Kota,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping tolerates source naming variants without fuzzy geography inference
1309,13.09,regency,idn.13.1309,Pasaman,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source spelling remains provenance
1310,13.10,regency,idn.13.1310,Solok Selatan,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source spelling remains provenance
1311,13.11,regency,idn.13.1311,Dharmasraya,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source spelling remains provenance
1312,13.12,regency,idn.13.1312,Pasaman Barat,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source spelling remains provenance
1371,13.71,city,idn.13.1371,Padang,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source spelling remains provenance
1372,13.72,city,idn.13.1372,Solok,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping disambiguates Kota Solok from Kabupaten Solok
1373,13.73,city,idn.13.1373,Sawahlunto,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; canonical spelling may differ from historical/source spelling
1374,13.74,city,idn.13.1374,Padang Panjang,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source spelling remains provenance
1375,13.75,city,idn.13.1375,Bukittinggi,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source spelling remains provenance
1376,13.76,city,idn.13.1376,Payakumbuh,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source spelling remains provenance
1377,13.77,city,idn.13.1377,Pariaman,2024,2024,qualified_current_crosswalk,Permendagri,Explicit cross-system mapping; source spelling remains provenance
