request_id,title,official_page_url,format,priority,dashboard_use,expected_granularity,status,notes
sumbarprov_bpbd_casualties_type_2024,Jumlah Korban Perjenis Bencana 2024,https://data.sumbarprov.go.id/dataset/jumlah-korban-perjenis-bencana-2024,XLSX,P0,korban menurut jenis bencana,jenis bencana x tahun,ready_for_harvest,Pusdalop BPBD Sumatera Barat; direct resource confirmed on portal
sumbarprov_bpbd_casualties_district_2024,Jumlah Korban Per KabKota 2024,https://data.sumbarprov.go.id/dataset/jumlah-korban-per-kabkota-2024,XLSX,P0,korban menurut kabupaten/kota,kabupaten/kota x tahun,ready_for_harvest,Required for map/filter casualty impact
sumbarprov_bpbd_housing_district_2024,Dampak Bencana Terhadap Pemukiman Per KabKota 2024,https://data.sumbarprov.go.id/dataset/dampak-bencana-terhadap-pemukiman-per-kabkota-2024,XLSX,P0,rumah/pemukiman terdampak,kabupaten/kota x tahun,ready_for_harvest,Required for housing impact layer
sumbarprov_bpbd_facilities_district_2024,Dampak Bencana Terhadap Fasilitas Umum Per KabKota 2024,https://data.sumbarprov.go.id/dataset/dampak-bencana-terhadap-fasilitas-umum-per-kabkota-2024,XLSX,P0,fasilitas umum terdampak,kabupaten/kota x tahun,ready_for_harvest,Pusdalops BPBD Sumatera Barat; direct resource confirmed on portal
sumbarprov_bpbd_events_month_2024,Jumlah Kejadian Bencana Perbulan 2024,https://data.sumbarprov.go.id/dataset/jumlah-kejadian-bencana-perbulan-2024,XLSX,P0,time-series kejadian bencana,bulan x jenis bencana,ready_for_harvest,Adds monthly resolution beyond annual canonical panel
sumbarprov_bpbd_events_district_2024,Jumlah Kejadian Bencana Per KabKota 2024,https://data.sumbarprov.go.id/dataset/jumlah-kejadian-bencana-per-kabkota-2024,XLSX,P0,sebaran kejadian bencana,kabupaten/kota x jenis bencana x tahun,ready_for_harvest,Cross-check and enrich existing BNPB canonical observations
sumbarprov_bpbd_social_impact_district_2023,Dampak bencana terhadap masyarakat Per Kabupaten/Kota 2023,https://data.sumbarprov.go.id/dataset/dampak-bencana-terhadap-masyarakat-per-kabupaten-kota,XLSX,P0,korban/masyarakat terdampak,kabupaten/kota x tahun,ready_for_harvest,Pusdalop BPBD Sumatera Barat
sumbarprov_bpbd_housing_district_2023,Dampak Bencana Terhadap Pemukiman Masyarakat Per Kabupaten/Kota Tahun 2023,https://data.sumbarprov.go.id/dataset/dampak-bencana-terhadap-pemukiman-masyarakat-per-kabupaten-kota-tahun-2023,XLSX,P0,kerusakan rumah,kabupaten/kota x tahun,ready_for_harvest,Historical continuity for housing impact
sumbarprov_bpbd_loss_2023,Data Kerugian Akibat Bencana Tahun 2023,https://data.sumbarprov.go.id/dataset/?_organization_limit=0&_res_format_limit=0&_tags_limit=0&organization=badan-penanggulangan-bencana-daerah&tags=Kerugian,XLSX,P0,kerugian ekonomi akibat bencana,jenis/wilayah x tahun,to_resolve_package,Portal confirms dataset exists; harvester resolves canonical package/resource URL
sumbarprov_bpbd_risk_2021_2024,Indeks Risiko Bencana Sumatera Barat tahun 2021 - 2024,https://data.sumbarprov.go.id/dataset/indeks-risiko-bencana-sumatera-barat-tahun-2021-2024,PNG,P0,risiko bencana dan konteks kapasitas,wilayah x tahun,manual_or_derived,Image resource; use only if underlying numeric source cannot be obtained elsewhere
sumbarprov_bpbd_resilience_2024,Nilai Indeks Ketangguhan Daerah Provinsi Sumatera Barat 2024,https://data.sumbarprov.go.id/dataset/?license_id=notspecified&organization=badan-penanggulangan-bencana-daerah,PNG,P0,kapasitas/ketangguhan daerah,provinsi x tahun,to_resolve_package,Prefer numeric underlying source over PNG when possible
sumbarprov_landcover_2021,Tutupan Lahan Tahun 2021,https://data.sumbarprov.go.id/id/dataset/?_res_format_limit=0&_tags_limit=0&tags=Lingkungan+Hidup,CSV,P0,faktor lingkungan/tutupan lahan,wilayah/category x year,to_resolve_package,Machine-readable CSV confirmed by portal listing
sumbarprov_reforestation,reboisasi dan penghijauan,https://data.sumbarprov.go.id/dataset/?page=69,XLS,P1,mitigasi/rehabilitasi lahan,time-series,to_resolve_package,Portal listing describes five-year Sumatera Barat series
sumbarprov_tsunami_sirens,Jumlah Sirine Tsunami Milik Provinsi Sumatera Barat,https://data.sumbarprov.go.id/dataset/?license_id=notspecified&organization=badan-penanggulangan-bencana-daerah,XLSX,P1,kapasitas mitigasi tsunami,lokasi sirine,to_resolve_package,Useful for mitigation/capacity layer rather than general disaster occurrence
