evidence_id,component_class,hazard_family,evidence_state,claim_type,temporal_scope,substantive_frame_authorized,source_object,blocking_reason,interpretation_boundary
m16_h1_earthquake_shaking_2009,hazard_intensity,earthquake,qualified_inherited,model_derived_physical_intensity,2009-09-30_event,True,data/analysis/quasi_causal/m8-shakemap-exposure-candidate.csv,,"physical shaking intensity; not population/asset exposure, damage, loss, or historical-boundary reconstruction"
m16_c1_chirps_rainfall_2024,climate_context,hydrometeorological,qualified_inherited_model_estimate,model_estimate,2024_vs_1981_2023_baseline,True,data/analysis/climate_disaster/m9-hydroclimate-2024-geography-frame.csv,,"annual gridded rainfall context; not station observation, event-day rainfall, disaster attribution, or climate-change attribution"
m16_o1_bnpb_flood_events_2024,recorded_event_occurrence,flood,qualified_inherited,observed_recorded_event_count,2024,True,data/analysis/climate_disaster/m9-hydroclimate-2024-geography-frame.csv,,"recorded occurrence count; not hazard probability, exposure, impact, damage, casualties, or monetary loss"
m16_o2_bnpb_landslide_events_2024,recorded_event_occurrence,landslide,qualified_inherited,observed_recorded_event_count,2024,True,data/analysis/climate_disaster/m9-hydroclimate-2024-geography-frame.csv,,"recorded occurrence count; not hazard probability, exposure, impact, damage, casualties, or monetary loss"
m16_h2_inarisk_flood_hazard,hazard_intensity,flood,endpoint_verified_version_binding_unresolved,modeled_spatial_index_not_ingested,service_vintage_unresolved,False,https://gis.bnpb.go.id/server/rest/services/inarisk/layer_bahaya_banjir/ImageServer,ImageServer metadata does not itself provide a sufficient exact vintage/methodology binding for M16 substantive aggregation,machine-readable official BNPB spatial service retained as readiness evidence only
m16_h3_inarisk_landslide_hazard,hazard_intensity,landslide,endpoint_verified_version_binding_unresolved,modeled_spatial_index_not_ingested,service_vintage_unresolved,False,https://gis.bnpb.go.id/server/rest/services/inarisk/layer_bahaya_tanah_longsor/ImageServer,ImageServer metadata does not itself provide a sufficient exact vintage/methodology binding for M16 substantive aggregation,machine-readable official BNPB spatial service retained as readiness evidence only
m16_v1_inarisk_flood_vulnerability,vulnerability,flood,endpoint_verified_version_binding_unresolved,modeled_spatial_index_not_ingested,service_vintage_unresolved,False,https://gis.bnpb.go.id/server/rest/services/inarisk/layer_kerentanan_banjir/ImageServer,ImageServer metadata does not itself provide a sufficient exact vintage/methodology binding for M16 substantive aggregation,machine-readable official BNPB spatial service retained as readiness evidence only
m16_v2_inarisk_landslide_vulnerability,vulnerability,landslide,endpoint_verified_version_binding_unresolved,modeled_spatial_index_not_ingested,service_vintage_unresolved,False,https://gis.bnpb.go.id/server/rest/services/inarisk/layer_kerentanan_tanah_longsor/ImageServer,ImageServer metadata does not itself provide a sufficient exact vintage/methodology binding for M16 substantive aggregation,machine-readable official BNPB spatial service retained as readiness evidence only
m16_e1_exposure_gap,exposure,multi_hazard,qualified_component_missing,evidence_gap,not_applicable,False,,no qualified population/asset exposure object bound to the M16 spatial-temporal regime,PGA/MMI must not be relabeled as exposure
m16_c2_capacity_gap,capacity,multi_hazard,qualified_component_missing,evidence_gap,not_applicable,False,,no qualified capacity object bound to the M16 spatial-temporal regime,capacity cannot be inferred from hazard or event counts
m16_i1_observed_impact_gap,observed_impact,multi_hazard,qualified_component_missing,evidence_gap,not_applicable,False,,"qualified event counts do not measure affected people, casualties, damaged assets, or monetary losses",recorded occurrence must remain separate from observed impact
m16_r1_modeled_risk_blocked,modeled_risk,multi_hazard,synthesis_not_authorized,blocked_derived_object,not_applicable,False,,"hazard, exposure, vulnerability, capacity, and impact evidence are not jointly qualified in one compatible regime",no composite disaster-risk score or kabupaten/kota risk ranking may be emitted
