indicator_id,name,domain,definition,registry_unit,registry_frequency,allowed_claim_types,source_priority,source_artifact,m10_semantic_caution
expected_years_schooling,Expected years of schooling,education_knowledge,Expected schooling years for a child under current participation patterns,years,annual,observed,BPS,bps_canonical_panel,Susenas/HDI annual indicator; retain March reference-period semantics.
mean_years_schooling,Mean years of schooling,education_knowledge,Average completed years of formal schooling for source age universe,years,annual,observed,BPS,bps_canonical_panel,Susenas/HDI annual indicator; retain March reference-period semantics.
life_expectancy,Life expectancy at birth,health,Expected years of life at birth under source life table assumptions,years,annual,observed,BPS,bps_canonical_panel,LF-SP2020-based UHH only in the qualified modern series; do not chain to legacy methodology.
labor_force_participation,Labor force participation rate,labor_livelihoods,Share of working age population in labor force,percent,annual_or_quarterly,observed,BPS,bps_canonical_panel,August Sakernas reference; source weighting-regime notes remain material.
unemployment_rate,Open unemployment rate,labor_livelihoods,Unemployed persons as share of labor force,percent,annual_or_quarterly,observed,BPS,bps_canonical_panel,August Sakernas reference; source weighting-regime notes remain material.
poverty_rate,Poverty headcount rate,income_productivity_poverty_inequality,Population below official poverty line as share of population,percent,semiannual_or_annual,observed,BPS,bps_canonical_panel,Susenas March poverty measure; annual analysis-year indexing does not make it a year-end value.
real_grdp_growth,Real GRDP growth,income_productivity_poverty_inequality,Growth of constant-price gross regional domestic product,percent,annual_or_quarterly,observed|derived,BPS,bps_canonical_panel,ADHK 2010 real growth; source release/revision status remains in lineage notes.
agriculture_share_grdp,Agriculture share of GRDP,production_trade,Agriculture forestry and fisheries value added as share of current-price GRDP,percent,annual,derived,BPS,bps_expansion_canonical,"Derived from same-source ADHB sector and total GRDP; current-price structural share, not real growth."
manufacturing_share_grdp,Manufacturing share of GRDP,production_trade,Manufacturing value added as share of current-price GRDP,percent,annual,derived,BPS,bps_expansion_canonical,"Derived from same-source ADHB sector and total GRDP; current-price structural share, not real growth."
rice_yield,Rice yield,production_trade,Harvested rice output per unit harvested area,tonnes_per_hectare,annual,observed|derived,BPS|Ministry_of_Agriculture,bps_expansion_canonical,KSA-based derived productivity; preserve KSA revision/caveat notes.
underemployment_rate,Underemployment rate,labor_livelihoods,Employed persons meeting source underemployment criteria as share of relevant workers,percent,annual_or_quarterly,observed,BPS,bps_expansion_canonical,August Sakernas; cross-regime comparability remains source-qualified rather than assumed.
population_total,Population,demography_migration,Resident population under the source definition,persons,annual_or_census,observed|derived,BPS,bps_expansion_canonical,SP2020 census anchor is intentionally sparse; no interpolation or annual back/forward fill.
annual_rainfall,Annual rainfall,environment_climate,Accumulated precipitation over stated annual reference period,millimetres,annual,observed|derived|model_estimate,BMKG|CHIRPS|ERA5-Land,chirps_annual_rainfall,CHIRPS v3 Final fixed-current-boundary model estimate; not BMKG station-observation equivalence.
flood_events,Recorded flood events,disaster_resilience,Count of officially recorded flood events under source event definition,count,annual,observed,BNPB,bnpb_disaster_canonical,BNPB observed recorded-event count for 2024 only; missing years are not zero-filled.
landslide_events,Recorded landslide events,disaster_resilience,Count of officially recorded landslide events under source event definition,count,annual,observed,BNPB,bnpb_disaster_canonical,BNPB observed recorded-event count for 2024 only; missing years are not zero-filled.
