evidence_id,milestone,role,artifact,claim_state,geography,period,key_result,major_boundary
"E10_MODERN_PANEL","10","primary analytical foundation","data/manifests/milestone10_analytical_panel.json","publishable_bounded","19 current West Sumatra kabupaten/kota","2018-2025","Modern integrated panel with explicit missingness and 15 upstream indicators.","No imputation temporal fill or historical-boundary continuity."
"E11_EXPECTED_PERFORMANCE","11","predictive expected-performance evidence","data/manifests/milestone11_expected_performance_v2.json","publishable_bounded","19 current West Sumatra kabupaten/kota","modeled 2019-2024 regime","342 geography-out cross-fitted predictions across poverty unemployment and real-GRDP growth; all three targets beat the preregistered same-year peer-mean benchmark on RMSE and MAE.","Predictive not causal."
"E12_EMPIRICAL_REFERENCE","12","empirical favorable-reference evidence","docs/MILESTONE12_ATTAINABLE_FRONTIER.md","publishable_bounded","19 current West Sumatra kabupaten/kota plus qualified comparison support","M11-aligned modeled regime","Primary conditional favorable-residual reference plus alternative structural-neighbor favorable envelope.","Empirical conditional reference not theoretical maximum or guaranteed attainable policy outcome."
"E13_GAPS","13","development-gap evidence","data/manifests/milestone13_development_gap_decomposition.json","publishable_bounded","19 current West Sumatra kabupaten/kota","target-year-geography modeled regime","342 gap rows; 15 less favorable 313 within interval 14 more favorable; 243 support-authorized and 99 blocked; 50 rows have frontier-gap sign disagreement across methods.","No multidimensional weighted score monetary aggregation or causal underperformance interpretation."
"E14_ASSOCIATION","14","association-screening evidence","data/manifests/milestone14_bottleneck_association.json","publishable_bounded","19 current West Sumatra kabupaten/kota","lagged modern panel","One stable lagged rainfall versus unemployment-gap association retained; rank association about +0.458 with geography-block permutation p about 0.0056.","Stable association only not causal mechanism or policy priority."
"E15_CAUSAL_LIBRARY","15","identification-readiness evidence","data/manifests/milestone15_causal_evidence_expansion.json","publishable_bounded","study-specific","study-specific","One inherited completed quasi-causal study two not-identification-ready entries and zero new causal models.","Association strength cannot substitute for identification."
"E17_SCENARIOS","17","predictive sensitivity evidence","data/manifests/milestone17_scenario_intervention.json","publishable_bounded","19 current West Sumatra kabupaten/kota via M11 outer folds","modern model regime","Seven scenario contracts with five quantitative model-state sensitivities and two blocked scenarios.","Not treatment effects forecasts implementable raw-unit interventions or cost-benefit evidence."
"E18_SYNTHESIS","18","claim-boundary and research-readiness synthesis","data/manifests/milestone18_final_analytical_synthesis.json","publishable_bounded","cross-milestone","through M18","Nine-node evidence graph and nine explicit blocked public claims; no Research Charter question fully resolved.","Dependency edges are not causal and action readiness remains blocked."
"E19_FORECAST","19","negative forecast-qualification evidence","data/manifests/milestone19_dynamic_forecast_engine.json","publishable_negative_result","19 current West Sumatra kabupaten/kota","2019-2026 design with 2021-2025 outer backtest","Zero of three targets beat persistence on both RMSE and MAE; substantive 2026 forecasts blocked.","Generated forecast rows are not qualified forecasts."
"E20_CLIMATE_TREND","20","negative historical climate-trend evidence","data/manifests/milestone20_historical_climate_trend.json","publishable_negative_result","19 current West Sumatra kabupaten/kota on fixed current boundaries","1981-2025","Zero of 19 geographies pass the robust monotonic CHIRPS rainfall-trend gate.","CHIRPS is model-estimate evidence; station validation pending; no anthropogenic attribution or historical-boundary continuity."
"E21_CLIMATE_REGIME","21","negative climate regime-shift evidence","data/manifests/milestone21_climate_regime_shift.json","publishable_negative_result","regional current-boundary rainfall mean","1981-2025","Full fit selects 1998 but segmented model worsens RMSE and breakpoint stability is 55 percent; regime shift not qualified.","1998 is a candidate diagnostic pattern not an established physical regime shift."
"E22_TRAJECTORIES","22","modern socioeconomic trajectory evidence","data/manifests/milestone22_hierarchical_socioeconomic_trajectory.json","publishable_bounded","19 current West Sumatra kabupaten/kota","2018-2025","Four of seven indicators pass the hierarchical benchmark; 32 persistent increases 14 persistent decreases and 87 not-robust geography-indicator trajectories overall.","Only qualified indicators may receive hierarchy-based trajectory interpretation; no causal or future guarantee."
"E24_STABLE32","24","national comparator context","data/manifests/milestone24_bps_stable32_complete.json","context_only","32 stable-boundary current provinces","2018-2025","Six indicators 1536 observations 48 provenance records and 48 frozen snapshots.","Six current Papua-region provinces excluded; no geography backcasting or province-district pooling."
"E25_DJPK","25","public-finance context","data/manifests/milestone25_djpk_public_finance_complete.json","context_only","19 West Sumatra kabupaten/kota","2018-2025","608 exact-label annual-final observations across total revenue PAD total expenditure and capital expenditure; central-transfer revenue held.","No imputation derived fiscal ratio model causal claim or monetary wasted-potential estimate."
"E26_DISASTER","26","disaster-component context","data/manifests/milestone26_disaster_risk_chain_complete.json","context_only","19 current West Sumatra kabupaten/kota","component-specific 2020 2021 and 2015-2024","57 materialized component observations across population exposure capacity and recorded occurrence context.","Observed impact held; hazard and vulnerability version binding unresolved; risk synthesis unauthorized."
"E27_BKPM","27","investment context","data/manifests/milestone27_completion.json","context_only","19 current West Sumatra kabupaten/kota","2010-Q1 to 2025-Q4","63 of 64 quarters qualified with 1440 materialized geography-quarter-status observations; 2024-Q1 held.","No forced deduplication PMA-PMDN combination annualization ranking external FX conversion or causal interpretation."
"E28_BROADER_PANEL","28","broader outcome infrastructure health and demographic context","data/manifests/milestone28_completion.json","context_only","19 current West Sumatra kabupaten/kota","2018-2025","Seven added BPS indicators and 931 observations; Panel v2 has 22 indicators 2679 present observations 665 explicit missing cells and 10 fully balanced indicators.","Source-specific methodology regimes and structured missingness must remain visible; no new model causal claim or monetary aggregation."
