krb_hazard_id,source_hazard_label,section_id,action_order,action_text_source_native,start_pdf_page,end_pdf_page,claim_type,observed_implementation_claimed,prediction_claim_authorized,unmitigated_loss_forecast_authorized
flood,BANJIR,krb_4_2_1,1,1. Penataan Ruang. Penataan ruang melalui atau dilakukan dengan cara: a) Identifikasi wilayah rawan banjir b) Pengarahan pembangunan menghindari daerah rawan banjir yang dilanjutkan dengan kontrol penggunaan lahan. c) Revitalisasi fungsi resapan tanah d) Pembangunan sistem dan jalur evakuasi yang dilengkapi sarana dan prasarana.,101,101,official_risk_reduction_recommendation,false,false,false
flood,BANJIR,krb_4_2_1,2,"2. Mitigasi Struktural. Mitigasi struktural dilakukan dengan: a) Pembangunan tembok penahan dan tanggul di sepanjang sungai serta tembok laut sepanjang pantai yang rawan menjadi penyebab terjadinya banjir. b) Pengaturan kecepatan aliran dan debit air permukaan dari daerah hulu untuk mengurangi terjadinya bahaya banjir. hal yang bisa dilakukan diantaranya dengan reboisasi dan pembangunan sistem peresapan serta pembangunan bendungan/waduk. c) Pengerukan sungai, pembuatan sudetan sungai baik secara saluran terbuka maupun tertutup (terowongan).",101,101,official_risk_reduction_recommendation,false,false,false
flood,BANJIR,krb_4_2_1,3,3. Penyuluhan/kampanye penyadartahuan masyarakat. Penyuluhan kepada masyarakat mengenai mitigasi dan respon terhadap kejadian banjir. [PDF page 102] DOKUMEN KAJIAN RISIKO BENCANA NASIONAL – PROVINSI SUMATERA BARAT 2022-2026 HAL 101,101,102,official_risk_reduction_recommendation,false,false,false
flood,BANJIR,krb_4_2_1,4,4. Rehabilitasi fungsi-fungsi hidrologis pada daerah aliran sungai.,102,102,official_risk_reduction_recommendation,false,false,false
flood,BANJIR,krb_4_2_1,5,5. Reboisasi kawasan lindung sungai dan wilayah tangkapan air.,102,102,official_risk_reduction_recommendation,false,false,false
flood,BANJIR,krb_4_2_1,6,6. Peningkatan koordinasi antar pemangku kepentingan/stakeholder dalam menghadapi bahaya banjir.,102,102,official_risk_reduction_recommendation,false,false,false
flood,BANJIR,krb_4_2_1,7,7. Membangun sistem peringatan dini bahaya banjir yang lebih mudah dijangkau/diakses oleh masyarakat atau berbasis masyarakat.,102,102,official_risk_reduction_recommendation,false,false,false
flash_flood,BANJIR BANDANG,krb_4_2_2,1,1. Penataan Ruang. Penataan ruang melalui atau dilakukan dengan cara: a) Identifikasi wilayah rawan banjir Bandang b) Pengarahan pembangunan menghindari daerah rawan banjir yang dilanjutkan dengan kontrol penggunaan lahan. c) Revitalisasi fungsi resapan tanah d) Pembangunan sistem dan jalur evakuasi yang dilengkapi sarana dan prasarana.,102,102,official_risk_reduction_recommendation,false,false,false
flash_flood,BANJIR BANDANG,krb_4_2_2,2,"2. Mitigasi Struktural. Mitigasi struktural dilakukan dengan: a) Pembangunan tembok penahan dan tanggul di sepanjang sungai serta tembok laut sepanjang pantai yang rawan menjadi penyebab terjadinya banjir. b) Pengaturan kecepatan aliran dan debit air permukaan dari daerah hulu untuk mengurangi terjadinya bahaya banjir. hal yang bisa dilakukan diantaranya dengan reboisasi dan pembangunan sistem c) Pengerukan sungai, pembuatan sudetan sungai baik secara saluran terbuka maupun tertutup (terowongan).",102,102,official_risk_reduction_recommendation,false,false,false
flash_flood,BANJIR BANDANG,krb_4_2_2,3,3. Penyuluhan/kampanye penyadartahuan. masyarakat penyuluhan kepada masyarakat mengenai mitigasi dan respon terhadap kejadian banjir.,102,102,official_risk_reduction_recommendation,false,false,false
flash_flood,BANJIR BANDANG,krb_4_2_2,4,4. Peningkatan koordinasi antar pemangku kepentingan/stakeholder dalam menghadapi bahaya banjir bandang.,102,102,official_risk_reduction_recommendation,false,false,false
flash_flood,BANJIR BANDANG,krb_4_2_2,5,5. Rehabilitasi fungsi-fungsi hidrologis pada daerah aliran sungai,102,102,official_risk_reduction_recommendation,false,false,false
flash_flood,BANJIR BANDANG,krb_4_2_2,6,"6. Pemeliharaan wilayah aliran sungai, waduk, bendungan dan irigasi terutama pada bagian hulu.",102,102,official_risk_reduction_recommendation,false,false,false
