indicator_id,bps_role,acquisition_lane,query_terms,qualification_status,notes
population_total,primary,dynamic_or_publication,population penduduk jumlah penduduk,candidate,Preserve census projection and reference-date distinctions
population_growth,derived_input,derived_from_population,population penduduk pertumbuhan penduduk,derived_candidate,Derive only from compatible population series
urban_population_share,primary,dynamic_or_publication,urban perkotaan perdesaan penduduk,candidate,Urban rural classification must be retained
net_migration_rate,primary,census_or_publication,migrasi netto migrasi risen migrasi seumur hidup,candidate,Migration interval and residence definition are material
life_expectancy,primary,dynamic_or_strategic,umur harapan hidup UHH,candidate,Inspect methodology version and geography coverage
infant_mortality_rate,primary,publication_or_dynamic,angka kematian bayi AKB infant mortality,candidate,Direct survey and modeled estimates must remain distinct
stunting_prevalence,crosscheck,publication_or_static,stunting balita pendek,candidate_secondary,BPS may cross-check but health-sector source may remain primary
health_facility_access,crosscheck,static_or_publication,fasilitas kesehatan akses puskesmas rumah sakit,candidate_secondary,Operational access definition must be qualified
mean_years_schooling,primary,dynamic_or_strategic,rata-rata lama sekolah RLS,candidate,Inspect age universe and methodology
expected_years_schooling,primary,dynamic_or_strategic,harapan lama sekolah HLS,candidate,Inspect official methodology metadata
secondary_completion,primary,dynamic_or_publication,pendidikan tamat SMA sekolah menengah,candidate,Education-level classification and age universe required
tertiary_attainment,primary,dynamic_or_publication,pendidikan tinggi diploma universitas tamat,candidate,Credential classification and age universe required
labor_force_participation,primary,dynamic_or_publication,tingkat partisipasi angkatan kerja TPAK,candidate,Sakernas period and redesigns must be retained
unemployment_rate,primary,dynamic_or_publication,tingkat pengangguran terbuka TPT,candidate,Sakernas period and definition required
underemployment_rate,primary,dynamic_or_publication,setengah pengangguran underemployment,candidate,Hours threshold and willingness for more work required
formal_employment_share,primary,dynamic_or_publication,formal informal pekerja formal,candidate,Classification rule must be retained
real_grdp_per_capita,derived_input,dynamic_or_publication,PDRB per kapita harga konstan ADHK,derived_candidate,Base year and population denominator required
real_grdp_growth,primary,dynamic_or_publication,laju pertumbuhan PDRB harga konstan ADHK,candidate,Rebasing and chain decisions required
poverty_rate,primary,dynamic_or_strategic,persentase penduduk miskin kemiskinan,candidate,Poverty line methodology and survey period required
gini_ratio,primary,dynamic_or_strategic,gini rasio ketimpangan,candidate,Underlying expenditure welfare aggregate required
labor_productivity,derived_input,derived_multi_source,PDRB tenaga kerja produktivitas tenaga kerja,derived_candidate,Requires compatible real output and employment denominator
manufacturing_share_grdp,derived_input,dynamic_or_publication,PDRB industri pengolahan distribusi persen,derived_candidate,Industry classification and base year matter
agriculture_share_grdp,derived_input,dynamic_or_publication,PDRB pertanian kehutanan perikanan distribusi,derived_candidate,Sector classification and base year matter
rice_yield,primary,dynamic_or_static,produktivitas padi hasil per hektar,candidate,Harvested-area methodology revisions must be checked
fisheries_output,primary,static_or_publication,produksi perikanan tangkap budidaya,candidate,Capture and aquaculture should remain separable
export_value,primary,dynamic_or_publication,ekspor nilai ekspor asal barang pelabuhan muat,candidate,Origin and port-of-loading concepts must not be conflated
road_density,derived_input,static_or_publication,panjang jalan luas wilayah,candidate_secondary,May require public-works source for network definition
road_condition_good,crosscheck,static_or_publication,kondisi jalan baik panjang jalan,candidate_secondary,Road responsibility and condition categories required
household_electricity_access,primary,dynamic_or_publication,listrik rumah tangga sumber penerangan PLN,candidate,Grid and non-grid distinctions should be preserved
internet_access,primary,dynamic_or_publication,internet akses internet rumah tangga telepon seluler,candidate,Household versus person universe and device definition required
travel_time_major_market,not_primary,defer,travel time market akses pasar,defer_non_bps,Requires geospatial or network source
