finding_id,claim_type,finding,causal_effect_presence_claim
m8_source_resolution,observed_and_reconciled_evidence,The 19x2005-2013 real-GRDP panel is fully populated after a pre-fit 2009 overlap bridge and independent local-BPS resolution of four source-level inconsistencies; no level correction was inferred from growth arithmetic.,False
m8_exposure_validation,derived_physical_exposure_validation,"USGS area-mean PGA covers all 19 geographies. Among the 12 geographies explicitly reported in DLNA Table 3.19, PGA correlates positively with heavy housing-damage share (Pearson=0.759; Spearman=0.510). This is descriptive validation, not an exogeneity proof.",False
m8_pretrend,identification_diagnostic,"The locked parallel-trend screen passes: joint wild-cluster-bootstrap pretrend p=0.7245, with maximum absolute pre-event coefficient 0.0133. Passing is a screen, not proof of parallel trends.",False
m8_placebo,falsification_diagnostic,The preregistered 2007 pseudo-event placebo passes (coefficient=0.0070; wild-cluster-bootstrap p=0.4545).,False
m8_primary_2009,quasi_causal_estimate,"For 2009, one SD higher area-mean PGA is associated in the locked event-study with -0.003700 log units (-0.369% exact log-to-percent transform) of differential real-GRDP trajectory; CR1 SE=0.001550, wild-cluster-bootstrap p=0.1030. This is an estimated differential trajectory, not evidence that a nonzero effect is statistically established.",False
m8_primary_2010,quasi_causal_estimate,"For 2010, one SD higher area-mean PGA is associated in the locked event-study with -0.004997 log units (-0.498% exact log-to-percent transform) of differential real-GRDP trajectory; CR1 SE=0.002551, wild-cluster-bootstrap p=0.1455. This is an estimated differential trajectory, not evidence that a nonzero effect is statistically established.",False
m8_primary_2011,quasi_causal_estimate,"For 2011, one SD higher area-mean PGA is associated in the locked event-study with -0.005109 log units (-0.510% exact log-to-percent transform) of differential real-GRDP trajectory; CR1 SE=0.003477, wild-cluster-bootstrap p=0.2030. This is an estimated differential trajectory, not evidence that a nonzero effect is statistically established.",False
m8_primary_2012,quasi_causal_estimate,"For 2012, one SD higher area-mean PGA is associated in the locked event-study with -0.004768 log units (-0.476% exact log-to-percent transform) of differential real-GRDP trajectory; CR1 SE=0.004238, wild-cluster-bootstrap p=0.2945. This is an estimated differential trajectory, not evidence that a nonzero effect is statistically established.",False
m8_primary_2013,quasi_causal_estimate,"For 2013, one SD higher area-mean PGA is associated in the locked event-study with -0.004330 log units (-0.432% exact log-to-percent transform) of differential real-GRDP trajectory; CR1 SE=0.004636, wild-cluster-bootstrap p=0.3625. This is an estimated differential trajectory, not evidence that a nonzero effect is statistically established.",False
m8_influence,influence_diagnostic,"Named leave-one-out exclusions (Padang, Padang Pariaman, Pariaman) pass the locked influence screen; maximum absolute 2010-2013 coefficient change is 0.002264 log units.",False
m8_exposure_sensitivity,robustness_diagnostic,"All pre-specified 2009-2013 physical-exposure sensitivity point estimates are negative, ranging from -0.006472 to -0.002899 log units per one-SD exposure. No sensitivity definition was selected by statistical significance.",False
m8_primary_interpretation,quasi_causal_interpretation,"All required identification screens pass, so the locked coefficients qualify as quasi-causal estimates; however, none of the 2009-2013 primary coefficients has a wild-cluster-bootstrap p-value at or below 0.10 (minimum=0.1030). The defensible conclusion is that this design does not detect a statistically robust differential real-GRDP effect by local shaking intensity in 2009-2013. This must not be restated as proof that the earthquake had no economic damage or as a total-loss estimate.",False
m8_growth_robustness,source_qualification_and_derived_statistic,"Official comparative growth is directly qualified for all 19 geographies for 2009-2013, while a uniform official tabular 2005-2008 pre-event growth panel is unavailable under the frozen source contract. The project therefore preserves 95 official growth observations, materializes 152 derived level-to-level transitions separately, and does not substitute the derived series as an unpreregistered causal outcome.",False
